UNIT,TIMESTAMP,TYPE,MARKET,INSTRUMENT,MAPPED_INSTRUMENT,BASE,QUOTE,BASE_ID,QUOTE_ID,TRANSFORM_FUNCTION,OPEN,HIGH,LOW,CLOSE,FIRST_TRADE_TIMESTAMP,LAST_TRADE_TIMESTAMP,FIRST_TRADE_PRICE,HIGH_TRADE_PRICE,HIGH_TRADE_TIMESTAMP,LOW_TRADE_PRICE,LOW_TRADE_TIMESTAMP,LAST_TRADE_PRICE,TOTAL_TRADES,TOTAL_TRADES_BUY,TOTAL_TRADES_SELL,TOTAL_TRADES_UNKNOWN,VOLUME,QUOTE_VOLUME,VOLUME_BUY,QUOTE_VOLUME_BUY,VOLUME_SELL,QUOTE_VOLUME_SELL,VOLUME_UNKNOWN,QUOTE_VOLUME_UNKNOWN
DAY,1628985600,954,kraken,SOLUSD,SOL-USD,SOL,USD,3,5,,44.17,54.75,43.45,53.46,1628985646,1629071984,44.18,54.75,1629056090,43.45,1629013663,53.46,5140,2985,2155,0,119589.63747593,5919726.05672125,76658.85872002,3782004.56553441,42930.77875591,2137721.49118675,0,0
DAY,1629072000,954,kraken,SOLUSD,SOL-USD,SOL,USD,3,5,,53.46,69.06,52.4,62.15,1629072064,1629158390,53.75,69.06,1629125300,52.4,1629072840,62.15,14069,7138,6931,0,379343.8105431,24122709.3855929,175558.82150217,11113604.9412629,203784.98904093,13009104.4443318,0,0
DAY,1629158400,954,kraken,SOLUSD,SOL-USD,SOL,USD,3,5,,62.15,75,58.87,64.18,1629158470,1629244695,62.36,75,1629186146,58.87,1629232327,64.18,15813,7411,8402,0,366376.01286491,24802474.8044877,179733.3597625,12210957.196622,186642.65310241,12591517.6078642,0,0
DAY,1629244800,954,kraken,SOLUSD,SOL-USD,SOL,USD,3,5,,64.18,114,59.83,72.8,1629244832,1629331199,64.23,114,1629285590,59.83,1629249260,72.8,19479,10038,9441,0,561324.46706931,40782165.157053,294469.13397685,21358161.5719792,266855.33309246,19424003.5850703,0,0
DAY,1629331200,954,kraken,SOLUSD,SOL-USD,SOL,USD,3,5,,72.8,75.34,68.4,72.79,1629331210,1629417515,72.76,75.34,1629334759,68.4,1629374846,72.79,9656,4074,5582,0,278900.0934632,20098780.2051227,105655.63818639,7625602.60660613,173244.45527681,12473177.5985172,0,0
DAY,1629417600,954,kraken,SOLUSD,SOL-USD,SOL,USD,3,5,,72.79,79.94,71,78.85,1629417613,1629503912,72.8,79.94,1629496205,71,1629447310,78.85,10305,5248,5057,0,301633.48571795,22504143.9846069,162636.08159422,12030908.1000791,138997.40412373,10473235.8845293,0,0
DAY,1629504000,954,kraken,SOLUSD,SOL-USD,SOL,USD,3,5,,78.85,84,72.68,73.8,1629504028,1629590330,78.7,84,1629515070,72.68,1629575727,73.8,8383,3838,4545,0,212867.57964147,16349925.6795573,104778.41417952,8095035.85544485,108089.16546195,8254889.82411069,0,0
DAY,1629590400,954,kraken,SOLUSD,SOL-USD,SOL,USD,3,5,,73.8,77.61,71.34,72.66,1629590516,1629676758,73.92,77.61,1629621070,71.34,1629665130,72.66,4620,2395,2225,0,118089.33053293,8807313.37160707,72519.19136292,5415223.40123414,45570.13917001,3392089.97037303,0,0
DAY,1629676800,954,kraken,SOLUSD,SOL-USD,SOL,USD,3,5,,72.66,76.7,71.67,75.63,1629676810,1629763100,72.82,76.7,1629761823,71.67,1629729672,75.63,5596,2874,2722,0,123445.36104096,9111935.17393223,66411.97397976,4913438.39081964,57033.3870612,4198496.78311257,0,0
DAY,1629763200,954,kraken,SOLUSD,SOL-USD,SOL,USD,3,5,,75.63,79.38,66,70.83,1629763215,1629849489,75.69,79.38,1629778348,66,1629821781,70.83,12299,5531,6768,0,233941.12732979,17370901.3620375,105775.18199555,7936287.86616954,128165.94533424,9434613.49586791,0,0
DAY,1629849600,954,kraken,SOLUSD,SOL-USD,SOL,USD,3,5,,70.83,72.7,66.23,71.95,1629849622,1629935953,70.56,72.7,1629871420,66.23,1629881760,71.95,8808,3982,4826,0,171898.6336806,12004186.9117091,89350.26278356,6274261.58854655,82548.37089704,5729925.32316242,0,0
DAY,1629936000,954,kraken,SOLUSD,SOL-USD,SOL,USD,3,5,,71.95,78.32,66.34,74.74,1629936009,1630022389,72,78.32,1629987919,66.34,1629962390,74.74,15395,8277,7118,0,306416.07756537,22618189.3776933,186702.73365382,13942874.7093642,119713.34391155,8675314.66832708,0,0
DAY,1630022400,954,kraken,SOLUSD,SOL-USD,SOL,USD,3,5,,74.74,88.92,72.71,87.99,1630022405,1630108787,74.95,88.92,1630105021,72.71,1630023437,87.99,18515,9510,9005,0,379522.50502524,31354528.6879658,180140.16253792,14846975.1528732,199382.34248732,16507553.5350962,0,0
DAY,1630108800,954,kraken,SOLUSD,SOL-USD,SOL,USD,3,5,,87.99,97.89,85.66,96.24,1630108888,1630195197,87.87,97.89,1630192307,85.66,1630129396,96.24,11243,6212,5031,0,219137.93209514,20334311.9124292,119460.20630294,11078266.2497303,99677.7257922,9256045.6626942,0,0
DAY,1630195200,954,kraken,SOLUSD,SOL-USD,SOL,USD,3,5,,96.24,97.81,90.53,94.28,1630195209,1630281587,96.29,97.81,1630199955,90.53,1630249836,94.28,8641,3950,4691,0,135138.74650936,12681678.1380422,60211.90014838,5648800.54837015,74926.84636098,7032877.58966888,0,0
DAY,1630281600,954,kraken,SOLUSD,SOL-USD,SOL,USD,3,5,,94.28,116.45,93.79,110.37,1630281619,1630367959,94.2,116.45,1630349899,93.79,1630281818,110.37,26184,14442,11742,0,443938.41567184,46871609.5877852,249461.70096649,26174969.563816,194476.71470535,20696640.0239728,0,0
DAY,1630368000,954,kraken,SOLUSD,SOL-USD,SOL,USD,3,5,,110.37,134,103.23,108.4,1630368017,1630454391,110.02,134,1630413104,103.23,1630449572,108.4,39075,19220,19855,0,657346.27679045,75977615.7891301,317593.35267781,37155618.4256153,339752.92411264,38821997.3635123,0,0
DAY,1630454400,954,kraken,SOLUSD,SOL-USD,SOL,USD,3,5,,108.4,119.58,105.69,110.81,1630454424,1630540787,108.03,119.58,1630499657,105.69,1630458053,110.81,22741,11354,11387,0,383503.16794662,43329496.1061862,231295.86745059,26172893.8004675,152207.30049603,17156602.3057217,0,0
